seu_name,display_name,category,energy_source,baseline_duty,actual_duty,target_duty,gain_GJ_hr,enpi
KM-2115,EG1 Recycle gas compressor,Compressor,Electricity,0.0,0.0,0.0,0.0,0.0
E-2523,EG1 Third Stage Reactor Feed Heater,Exchanger,Steam,0.686682,0.0,0.0,0.0,0.0
E-2531,EG1 First Effect Reboiler,Reboiler,Steam,2.468993,0.0,0.0,0.0,0.0
E-2610,EG1 Drying Column Reboiler,Reboiler,Steam,0.46238,0.0,0.0,0.0,0.0
E-2620,EG1 MEG Column Reboiler,Reboiler,Steam,0.124355,0.0,0.0,0.0,0.0
KM-4115,EG2 Recycle gas compressor,Compressor,Electricity,0.0,0.0,0.0,0.0,0.0
E-4523,EG2 Third Stage Reactor Feed Heater,Exchanger,Steam,0.0,0.0,0.0,0.0,0.0
E-4531,EG2 First Effect Reboiler,Reboiler,Steam,0.0,0.0,0.0,0.0,0.0
E-4610,EG2 Drying Column Reboiler,Reboiler,Steam,0.0,0.0,0.0,0.0,0.0
E-4620,EG2 MEG Column Reboiler,Reboiler,Steam,0.0,0.0,0.0,0.0,0.0
E-6531,EG3 First Effect Reboiler,Reboiler,Steam,1.674547,0.0,0.0,0.0,0.0
E-6620,EG3 MEG Column Reboiler,Reboiler,Steam,1.456599,0.0,0.0,0.0,0.0
H-1111,Eth Furnace A,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1112,Eth Furnace B,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1113,Eth Furnace C,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1114,Eth Furnace D,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1115,Eth Furnace E,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1116,Eth Furnace G,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1117,Eth Furnace H,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1118,Eth Furnace I,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
H-1119,Eth Furnace J,Furnace,Fuel,0.0,0.0,0.0,0.0,0.0
BO-7104A,U&O Boiler A,Boiler,Fuel,2.864056,0.0,0.0,226.56104937947939,0.0
BO-7104B,U&O Boiler B,Boiler,Fuel,2.81865,0.0,0.0,226.14519310564967,0.0
BO-7104C,U&O Boiler C,Boiler,Fuel,2.807324,0.0,0.0,224.6673686048747,0.0
BO-7104D,U&O Boiler D,Boiler,Fuel,2.79906,0.0,0.0,225.96971140966005,0.0
BO-7104E,U&O Boiler E,Boiler,Fuel,2.846544,0.0,0.0,226.41524300635436,0.0
KT-1200,Eth CGC Turbine,Compressor,Steam,0.0,0.0,0.0,0.0,0.0
E-1102,Eth Ethane feed saturator,Exchanger,Steam,0.0,0.0,0.0,0.0,0.0
KM-7202B,U&O Air Compressor-B,Compressor,Electricity,0.365087,0.0,0.0,0.0,0.0
KM-7202C,U&O Air Compressor-C,Compressor,Electricity,0.394864,0.0,0.0,0.0,0.0
PK-5020,CO2 Raw Gas Compressor,Compressor,Electricity,0.0,0.0,0.0,0.0,0.0
PK-5070,CO2 Product Compressor,Compressor,Electricity,0.0,0.0,0.0,0.0,0.0
KT-7202A,U&O Air Compressor-A,Compressor,Steam,0.0,0.0,0.0,0.0,0.0
KT-7202D,U&O Air Compressor-D,Compressor,Steam,0.520177,0.0,0.0,0.0,0.0
V-7101A,U&O Deaerator-A,Deaerator,Steam,0.14067,0.3052434501807472,0.0,-48.838837478032026,0.0
V-7101B,U&O Deaerator-B,Deaerator,Steam,0.250449,0.1569660960422549,0.0,57.1247806643573,0.0
PM-7102A,U&O VHP BFW Pump-A,Pump,Electricity,0.0,0.0,0.0,0.0,0.0
PM-7103A,U&O BFW Pump-A,Pump,Electricity,0.012157,0.014849642404308286,0.0,-0.5227138788043333,0.0
PM-7103D,U&O BFW Pump-D,Pump,Electricity,0.0,0.0,0.0,0.0,0.0
PM-7103F,U&O BFW Pump-F,Pump,Electricity,0.0,0.0,0.0,0.0,0.0
PT-7102B,U&O VHP BFW Pump-B,Pump,Steam,0.029998,0.031177160086473515,0.0,-0.36337938913681644,0.0
PT-7102C,U&O VHP BFW Pump-C,Pump,Steam,0.030859,0.032982369037893144,0.0,-0.5793293545194883,0.0
PT-7103B,U&O BFW Pump-B,Pump,Steam,0.017282,0.023123404536819967,0.0,-0.0011339727912703578,0.0
PT-7103C,U&O BFW Pump-C,Pump,Steam,0.019551,0.025247236487862448,0.0,-0.001105791791881939,0.0
PT-7103E,U&O BFW Pump-E,Pump,Steam,0.0,0.0,0.0,0.0,0.0
PT-7801A,U&O Cooling Water Pump-A,Pump,Steam,0.000742,0.0027850073024948932,0.0,-7.763427749480594,0.0
PT-7801B,U&O Cooling Water Pump-B,Pump,Steam,0.000789,0.0028145140403170745,0.0,-7.696953353204882,0.0
PT-7801G,U&O Cooling Water Pump-G,Pump,Steam,0.000797,0.0030907864032269,0.0,-8.71638833226222,0.0
KM-6115,EG3 Recycle gas compressor,Compressor,Electricity,0.0,0.0,0.0,0.0,0.0
H-3831,LAO Hot Oil Heater,Heater,Fuel,0.0,0.0,0.0,0.0,0.0
C-2310 / E-2310,EG1 Stripping System,Stripping System,Steam,1.214955,0.0,0.0,0.0,0.0
C-4310 / E-4310,EG2 Stripping System,Stripping System,Steam,0.0,0.0,0.0,0.0,0.0
C-2220 / E-2220,EG1 Regeneration System,Regeneration System,Steam,10.820011,0.0,0.0,0.0,0.0
C-4220 / E-4220,EG2 Regeneration System,Regeneration System,Steam,0.0,0.0,0.0,0.0,0.0
E-6220,EG3 Regeneration System,Regeneration System,Steam,3.949321,0.0,0.0,0.0,0.0
KT-1500,Eth C2R Turbine,Compressor,Steam,0.0,0.0,0.0,0.0,0.0
KT-1600,Eth C3R Turbine,Compressor,Steam,0.0,0.0,0.0,0.0,0.0
